invoice_id,item_count,max_quantity_zscore,max_unit_price_zscore,any_invalid_tax_rate,num_invalid_tax_rate,anomaly_type,is_anomaly,num_quantity_outliers,num_price_outliers,any_quantity_outlier,any_price_outlier
0001583c-b617-40df-9ec1-282a6012bfed,27,2.4134965600971268,1.7147124800869846,False,0,normal,False,0,0,False,False
0004c0ed-4769-498e-b672-6de8df65adc9,27,2.823249696479158,1.3298583314429264,False,0,normal,False,0,0,False,False
000c0d97-1bda-47f2-9c52-25cd9be7d3d7,6,2.349925806016458,0.9318569913855616,False,0,normal,False,0,0,False,False
000c83b9-3af2-4c92-88e8-75fb015b068d,10,2.9425502495615814,1.144602452437246,False,0,normal,False,0,0,False,False
0013d2e2-2cc2-4a4d-84cd-9fb1665d448c,28,2.7088392014029408,1.745389260051366,False,0,normal,False,0,0,False,False
0015c96d-084c-4dcb-bb53-d6faa96ccac1,18,1.6089133953864831,1.7625204488626443,False,0,normal,False,0,0,False,False
001b902e-cb6d-43c3-8317-96013f414d1f,28,2.6558073654390935,1.3442007220756242,False,0,normal,False,0,0,False,False
002022c5-13f2-443b-bd6e-42a7a0fa97ac,10,2.8796539862403887,0.7685130980687254,False,0,normal,False,0,0,False,False
00222bf6-6921-4226-b1c9-af4ce0db72c1,1,0.6288783218669904,-0.7318603220073862,False,0,normal,False,0,0,False,False
00267c2f-d3f8-46aa-b92f-8cabf4f4a083,20,2.8267907729664103,1.1087464758555015,False,0,normal,False,0,0,False,False
0029e46d-d31a-426e-a287-530953d51264,10,0.820518008903278,1.393203890070675,False,0,normal,False,0,0,False,False
003456f8-82ed-4201-8589-47a96f684376,27,2.062424119789559,1.240218389988565,False,0,normal,False,0,0,False,False
0034cdbe-27c7-4631-9f6e-9efb846114f4,2,0.42155672467287203,-0.11513752480137965,False,0,normal,False,0,0,False,False
003f0a9f-1ec5-4c74-9eaf-69869b4c0689,8,1.0960474841494672,1.2557559798406543,False,0,normal,False,0,0,False,False
003f31d9-63ca-49c4-9092-b055d80fa53b,1,2.8686092000539594,-1.107949676375907,False,0,normal,False,0,0,False,False
003f400c-c7ab-4607-ad5e-7de7cc6922a8,19,2.072794415216512,1.6210885412346514,False,0,normal,False,0,0,False,False
00495e23-584e-44c5-80d8-1f772b5c10d8,19,2.5363381896668016,1.4963894226781398,False,0,normal,False,0,0,False,False
004a371a-e9f0-452d-b34d-c34d84c8bbc3,23,2.7662552273033865,1.1127304732534733,False,0,normal,False,0,0,False,False
0053d09f-4f42-40f3-b7fd-c393c32f87d0,27,2.607581276136517,1.5242774044639413,False,0,normal,False,0,0,False,False
0057a1f1-150d-4fb0-a3cb-1b6cbb2c89a9,29,1.8934641845406717,1.7868228329902711,False,0,normal,False,0,0,False,False
005929ad-16ab-432f-b528-7e292dae0fc3,14,1.264670174018616,1.3426071231164354,False,0,normal,False,0,0,False,False
005bb117-0b3f-4c85-85e6-30346d103b97,4,0.9274247942803184,1.0569545096818704,False,0,normal,False,0,0,False,False
0060cf81-9b45-4ae8-983c-498a37f58e10,13,2.0882233913395387,0.8716986306761901,False,0,normal,False,0,0,False,False
00632b6e-12cc-4143-a95a-02a5c0b6b97d,1,-0.0843113449345744,0.08844474223497016,False,0,normal,False,0,0,False,False
0084408d-ebd5-4473-b133-04b682b869c0,23,2.1100600296775935,1.5908101610100673,False,0,normal,False,0,0,False,False
0090b051-f2e8-4151-9a5f-5bbb668b291d,26,2.333653716444085,1.9135139502457683,False,0,normal,False,0,0,False,False
00968e2e-d08d-473d-b0f7-532dbe740023,6,2.9028396060973964,1.8394115986434962,False,0,normal,False,0,0,False,False
00b37ec7-8b7e-4e3e-af2f-f5192b962935,28,2.7746020504519087,1.8342324020261331,False,0,normal,False,0,0,False,False
00c00dda-5e77-42c1-a40a-9964ffca1135,3,0.42155672467287203,0.5346524508077912,False,0,normal,False,0,0,False,False
00cc5e9a-d347-4336-a217-f6f76e78a674,27,2.7911270740590854,1.4621270450555839,False,0,normal,False,0,0,False,False
00de8fbb-1ed7-43ec-ab73-0376d8c8dce6,10,2.0703493862134086,1.5637189787038601,False,0,normal,False,0,0,False,False
00e30fba-9e61-446a-ba99-96297d2f3e21,4,0.6744907594765952,0.40477413563391657,False,0,normal,False,0,0,False,False
00e43232-f259-42f3-a2d8-cfa7351218d4,1,2.685990826925671,-0.9007818116813827,False,0,normal,False,0,0,False,False
00e6b312-d126-49c3-a9a8-8f7d9d4304a6,7,0.9892250101173615,1.2788631647488897,False,0,normal,False,0,0,False,False
00f20750-9b11-4ea5-8617-ace725ad0d37,26,2.729579792256846,1.8174996129546523,False,0,normal,False,0,0,False,False
00f667e1-c918-400d-9a3e-c7418d6b7e5c,28,2.42184338324565,1.3677063067236563,False,0,normal,False,0,0,False,False
00f84b06-8073-4523-9c2d-81832b71287a,16,1.264670174018616,1.6872228980409807,False,0,normal,False,0,0,False,False
00fbaa9f-b95f-4417-8d13-652be03510dd,12,0.25293403480372323,1.0728904992737571,False,0,normal,False,0,0,False,False
